date,TICKER,Cleaned_Price,Cleaned_Return
2015-03-24,MSFT,42.9,0.001050053
2015-03-25,MSFT,41.46,-0.033566434
2015-03-26,MSFT,41.21,-0.006029908
2015-03-27,MSFT,40.97,-0.005823829
2015-03-30,MSFT,40.96,-0.000244081
2015-03-31,MSFT,40.655,-0.007446289
2015-04-01,MSFT,40.72,0.001598819
2015-04-02,MSFT,40.29,-0.010559921
2015-04-06,MSFT,41.545,0.031149169
2015-04-07,MSFT,41.53,-0.000361054
2015-04-08,MSFT,41.42,-0.002648688
2015-04-09,MSFT,41.48,0.001448576
2015-04-10,MSFT,41.72,0.005785921
2015-04-13,MSFT,41.76,0.000958773
2015-04-14,MSFT,41.65,-0.0026341
2015-04-15,MSFT,42.255,0.01452581
2015-04-16,MSFT,42.16,-0.002248255
2015-04-17,MSFT,41.615,-0.012926945
2015-04-20,MSFT,42.905,0.030998438
2015-04-21,MSFT,42.635,-0.006292973
2015-04-22,MSFT,42.985,0.008209218
2015-04-23,MSFT,43.34,0.008258695
2015-04-24,MSFT,47.87,0.104522381
2015-04-27,MSFT,48.03,0.003342386
2015-04-28,MSFT,49.155,0.023422861
2015-04-29,MSFT,49.06,-0.001932662
2015-04-30,MSFT,48.64,-0.008560946
2015-05-01,MSFT,48.655,0.000308388
2015-05-04,MSFT,48.24,-0.008529442
2015-05-05,MSFT,47.6,-0.013266998
2015-05-06,MSFT,46.28,-0.027731092
2015-05-07,MSFT,46.7,0.009075194
2015-05-08,MSFT,47.75,0.02248394
2015-05-11,MSFT,47.37,-0.007958115
2015-05-12,MSFT,47.35,-0.000422208
2015-05-13,MSFT,47.625,0.005807814
2015-05-14,MSFT,48.72,0.022992126
2015-05-15,MSFT,48.295,-0.008723317
2015-05-18,MSFT,48.01,-0.005901232
2015-05-19,MSFT,47.58,-0.008956467
2015-05-20,MSFT,47.58,0
2015-05-21,MSFT,47.42,-0.003362757
2015-05-22,MSFT,46.9,-0.010965837
2015-05-26,MSFT,46.59,-0.006609808
2015-05-27,MSFT,47.61,0.02189311
2015-05-28,MSFT,47.45,-0.003360639
2015-05-29,MSFT,46.86,-0.012434141
2015-06-01,MSFT,47.23,0.00789586
2015-06-02,MSFT,46.92,-0.006563625
2015-06-03,MSFT,46.85,-0.001491901
2015-06-04,MSFT,46.36,-0.010458911
2015-06-05,MSFT,46.14,-0.00474547
2015-06-08,MSFT,45.73,-0.008885999
2015-06-09,MSFT,45.65,-0.001749399
2015-06-10,MSFT,46.61,0.021029573
2015-06-11,MSFT,46.44,-0.003647286
2015-06-12,MSFT,45.97,-0.010120586
2015-06-15,MSFT,45.475,-0.010767892
2015-06-16,MSFT,45.83,0.007806487
2015-06-17,MSFT,45.97,0.003054768
2015-06-18,MSFT,46.72,0.016314988
2015-06-19,MSFT,46.1,-0.013270548
2015-06-22,MSFT,46.23,0.002819957
2015-06-23,MSFT,45.91,-0.006921912
2015-06-24,MSFT,45.635,-0.00598998
2015-06-25,MSFT,45.65,0.000328695
2015-06-26,MSFT,45.26,-0.008543264
2015-06-29,MSFT,44.37,-0.019664163
2015-06-30,MSFT,44.15,-0.004958305
